core_rank,selection_role,priority_group,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_datum_cd,huc_cd,huc8_name,parameter_count,parameter_codes,parameter_names,site_web_url
1,mainstem_longitudinal,1_mainstem,14145500,"MF WILLAMETTE RIVER ABV SALT CRK, NEAR OAKRIDGE,OR",ST,43.72095655,-122.4378256,NAD27,17090001,Coast Fork Willamette,3,"00010,00060,00065","water_temperature,discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14145500/
2,mainstem_longitudinal,1_mainstem,14144800,"MIDDLE FORK WILLAMETTE RIVER NR OAKRIDGE, OR",ST,43.60178867,-122.4575474,NAD27,17090001,Coast Fork Willamette,3,"00010,00060,00065","water_temperature,discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14144800/
3,mainstem_longitudinal,1_mainstem,14148000,"MF WILLAMETTE RIVER BLW N FORK, NR OAKRIDGE, OR.",ST,43.80123517,-122.5608879,NAD27,17090001,Coast Fork Willamette,3,"00010,00060,00065","water_temperature,discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14148000/
4,mainstem_longitudinal,1_mainstem,14150000,"MIDDLE FORK WILLAMETTE RIVER NEAR DEXTER, OR",ST,43.9456815,-122.8372967,NAD27,17090001,Coast Fork Willamette,5,"00010,00060,00065,00300,63680","water_temperature,discharge,gage_height,dissolved_oxygen,turbidity",https://waterdata.usgs.gov/monitoring-location/14150000/
5,mainstem_longitudinal,1_mainstem,14152000,"MIDDLE FORK WILLAMETTE RIVER AT JASPER, OR",ST,43.99818166,-122.9059126,NAD27,17090001,Coast Fork Willamette,5,"00010,00060,00065,00300,63680","water_temperature,discharge,gage_height,dissolved_oxygen,turbidity",https://waterdata.usgs.gov/monitoring-location/14152000/
6,mainstem_longitudinal,1_mainstem,14157500,"COAST FORK WILLAMETTE RIVER NEAR GOSHEN, OR",ST,43.98040324,-122.96647,NAD27,17090002,Middle Fork Willamette,3,"00010,00060,00065","water_temperature,discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14157500/
7,mainstem_longitudinal,1_mainstem,14158100,"WILLAMETTE RIVER AT OWOSSO BRIDGE AT EUGENE, OR",ST,44.09166667,-123.116111,NAD83,17090003,Upper Willamette,3,"00010,00300,63680","water_temperature,dissolved_oxygen,turbidity",https://waterdata.usgs.gov/monitoring-location/14158100/
8,mainstem_longitudinal,1_mainstem,14158050,"WILLAMETTE RIVER AT EUGENE, OR",ST,44.0525,-123.0827778,NAD83,17090003,Upper Willamette,2,"00010,00065","water_temperature,gage_height",https://waterdata.usgs.gov/monitoring-location/14158050/
9,mainstem_longitudinal,1_mainstem,14166000,"WILLAMETTE RIVER AT HARRISBURG, OR",ST,44.27040126,-123.1737036,NAD27,17090003,Upper Willamette,3,"00010,00060,00065","water_temperature,discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14166000/
10,mainstem_longitudinal,1_mainstem,14171600,"WILLAMETTE RIVER AT CORVALLIS, OR",ST,44.5663611,-123.2568056,NAD83,17090003,Upper Willamette,3,"00010,00060,00065","water_temperature,discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14171600/
11,mainstem_longitudinal,1_mainstem,14174000,"WILLAMETTE RIVER AT ALBANY, OR",ST,44.6387328,-123.1067616,NAD27,17090003,Upper Willamette,3,"00010,00060,00065","water_temperature,discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14174000/
12,mainstem_longitudinal,1_mainstem,14191000,"WILLAMETTE RIVER AT SALEM, OR",ST,44.9442863,-123.0428742,NAD27,17090007,Middle Willamette,2,"00060,00065","discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14191000/
13,mainstem_longitudinal,1_mainstem,14197900,"WILLAMETTE RIVER AT NEWBERG, OR",ST,45.2845625,-122.9614893,NAD27,17090007,Middle Willamette,3,"00010,00060,00065","water_temperature,discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14197900/
14,mainstem_longitudinal,1_mainstem,14207770,"WILLAMETTE RIVER BELOW FALLS, AT OREGON CITY, OR",ST-TS,45.35762066,-122.610925,NAD27,17090007,Middle Willamette,2,"00010,00065","water_temperature,gage_height",https://waterdata.usgs.gov/monitoring-location/14207770/
15,mainstem_longitudinal,1_mainstem,450808123004200,WILLAMETTE RIVER ALCOVE ON RB AT RM 67.1,ST,45.1355361,-123.01175,NAD83,17090007,Middle Willamette,3,"00010,00095,00300","water_temperature,specific_conductance,dissolved_oxygen",https://waterdata.usgs.gov/monitoring-location/450808123004200/
16,mainstem_longitudinal,1_mainstem,453027122400000,"WILLAMETTE RIVER BLW HOLGATE CHANNEL, PORTLAND, OR",ST,45.50748056,-122.6666139,NAD83,17090012,Lower Willamette,4,"00010,00095,00300,00400","water_temperature,specific_conductance,dissolved_oxygen,ph",https://waterdata.usgs.gov/monitoring-location/453027122400000/
17,mainstem_longitudinal,1_mainstem,14211720,"WILLAMETTE RIVER AT PORTLAND, OR",ST-TS,45.5175,-122.6691667,NAD83,17090012,Lower Willamette,7,"00010,00060,00065,00095,00300,00400,63680","water_temperature,discharge,gage_height,specific_conductance,dissolved_oxygen,ph,turbidity",https://waterdata.usgs.gov/monitoring-location/14211720/
18,major_tributary_water_quality,2_major_tributary,14158850,"MCKENZIE R BLW TRAIL BR DAM NR BELKNAP SPRINGS, OR",ST,44.2679001,-122.0497826,NAD27,17090004,McKenzie,7,"00010,00060,00065,00095,00300,00400,63680","water_temperature,discharge,gage_height,specific_conductance,dissolved_oxygen,ph,turbidity",https://waterdata.usgs.gov/monitoring-location/14158850/
19,major_tributary_water_quality,2_major_tributary,14162500,"MCKENZIE RIVER NEAR VIDA, OR",ST,44.1248487,-122.47062,NAD27,17090004,McKenzie,7,"00010,00060,00065,00095,00300,00400,63680","water_temperature,discharge,gage_height,specific_conductance,dissolved_oxygen,ph,turbidity",https://waterdata.usgs.gov/monitoring-location/14162500/
20,major_tributary_water_quality,2_major_tributary,14163900,"MCKENZIE RIVER NEAR WALTERVILLE, OR",ST,44.0698492,-122.7711874,NAD27,17090004,McKenzie,7,"00010,00060,00065,00095,00300,00400,63680","water_temperature,discharge,gage_height,specific_conductance,dissolved_oxygen,ph,turbidity",https://waterdata.usgs.gov/monitoring-location/14163900/
21,major_tributary_water_quality,2_major_tributary,14182500,"LITTLE NORTH SANTIAM RIVER NEAR MEHAMA, OR",ST,44.7915108,-122.5789738,NAD27,17090005,North Santiam,7,"00010,00060,00065,00095,00300,00400,63680","water_temperature,discharge,gage_height,specific_conductance,dissolved_oxygen,ph,turbidity",https://waterdata.usgs.gov/monitoring-location/14182500/
